Date,Symbol,Company,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,PChange,Volume
2025-11-13,NIFTY 50,NIFTY 50,25906.1,26010.7,25808.4,25879.15,25875.8,3.350000000002183,0.01,
2025-11-13,ASIANPAINT,ASIANPAINTEQN,2858.9,2897.1,2840.0,2874.3,2769.8,104.5,3.77,5932742.0
2025-11-13,HINDALCO,HINDALCOEQN,803.0,816.5,799.0,814.0,794.4,19.6,2.47,5850908.0
2025-11-13,INDIGO,INDIGOEQN,5838.0,5938.0,5811.0,5911.0,5795.5,115.5,1.99,1250908.0
2025-11-13,ICICIBANK,ICICIBANKEQN,1358.9,1390.4,1358.5,1385.4,1358.9,26.5,1.95,18294540.0
2025-11-13,LT,LTEQN,3954.6,4022.9,3925.6,4005.0,3954.6,50.4,1.27,1834556.0
2025-11-13,POWERGRID,POWERGRIDEQN,267.1,270.45,265.65,270.4,267.1,3.3,1.24,12573183.0
2025-11-13,BAJAJFINSV,BAJAJFINSVEQN,2045.0,2072.4,2032.3,2057.0,2035.5,21.5,1.06,1839935.0
2025-11-13,BHARTIARTL,BHARTIARTLEQN,2099.9,2107.0,2079.0,2093.0,2073.8,19.2,0.93,5958838.0
2025-11-13,CIPLA,CIPLAEQN,1520.0,1534.9,1515.4,1528.1,1519.3,8.8,0.58,1217293.0
2025-11-13,AXISBANK,AXISBANKEQN,1219.0,1234.8,1213.2,1228.3,1221.6,6.7,0.55,3345280.0
2025-11-13,GRASIM,GRASIMEQN,2766.6,2785.0,2746.2,2782.0,2767.4,14.6,0.53,686950.0
2025-11-13,JIOFIN,JIOFINEQN,310.0,316.6,309.7,311.0,309.5,1.5,0.48,15761850.0
2025-11-13,DRREDDY,DRREDDYEQN,1235.8,1242.4,1227.3,1234.4,1229.6,4.8,0.39,1427399.0
2025-11-13,SUNPHARMA,SUNPHARMAEQN,1734.5,1747.8,1725.4,1737.9,1732.1,5.8,0.33,1727590.0
2025-11-13,HCLTECH,HCLTECHEQN,1599.4,1605.0,1580.0,1597.3,1594.0,3.3,0.21,1943807.0
2025-11-13,MARUTI,MARUTIEQN,15661.0,15800.0,15660.0,15725.0,15696.0,29.0,0.18,250699.0
2025-11-13,ADANIENT,ADANIENTEQN,2502.0,2525.0,2468.1,2488.0,2484.5,3.5,0.14,2706151.0
2025-11-13,NTPC,NTPCEQN,327.15,329.95,325.55,327.5,327.15,0.35,0.11,7275540.0
2025-11-13,ULTRACEMCO,ULTRACEMCOEQN,11921.0,12016.0,11907.0,11931.0,11921.0,10.0,0.08,174406.0
2025-11-13,JSWSTEEL,JSWSTEELEQN,1191.7,1200.4,1178.1,1182.5,1181.8,0.7,0.06,1427089.0
2025-11-13,WIPRO,WIPROEQN,246.0,246.0,244.0,245.34,245.22,0.12,0.05,6209517.0
2025-11-13,RELIANCE,RELIANCEEQN,1515.0,1522.1,1506.8,1512.1,1511.5,0.6,0.04,7195900.0
2025-11-13,HDFCLIFE,HDFCLIFEEQN,782.9,786.5,778.3,782.95,783.1,-0.15,-0.02,2068081.0
2025-11-13,BAJAJ-AUTO,BAJAJ-AUTOEQN,8888.0,8895.5,8842.0,8863.0,8868.0,-5.0,-0.06,275993.0
2025-11-13,ITC,ITCEQN,407.0,407.5,404.5,406.5,407.0,-0.5,-0.12,6620641.0
2025-11-13,TECHM,TECHMEQN,1463.0,1463.8,1442.3,1453.0,1456.1,-3.1,-0.21,1178194.0
2025-11-13,KOTAKBANK,KOTAKBANKEQN,2089.5,2089.5,2064.6,2080.0,2084.5,-4.5,-0.22,2142371.0
2025-11-13,SBIN,SBINEQN,954.25,963.95,952.45,954.9,957.15,-2.25,-0.24,8889172.0
2025-11-13,NESTLEIND,NESTLEINDEQN,1280.0,1289.3,1270.3,1274.5,1278.2,-3.7,-0.29,691325.0
2025-11-13,TITAN,TITANEQN,3860.0,3867.9,3817.0,3839.3,3851.1,-11.8,-0.31,668592.0
2025-11-13,HDFCBANK,HDFCBANKEQN,984.0,990.1,982.6,985.75,989.5,-3.75,-0.38,14122576.0
2025-11-13,MAXHEALTH,MAXHEALTHEQN,1103.9,1110.8,1090.6,1098.7,1103.6,-4.9,-0.44,1467135.0
2025-11-13,SBILIFE,SBILIFEEQN,1980.6,2005.0,1975.5,1985.7,1996.7,-11.0,-0.55,671028.0
2025-11-13,HINDUNILVR,HINDUNILVREQN,2429.0,2431.0,2405.0,2409.9,2424.5,-14.6,-0.6,1255853.0
2025-11-13,BAJFINANCE,BAJFINANCEEQN,1012.5,1019.4,1003.5,1007.0,1013.2,-6.2,-0.61,8503975.0
2025-11-13,INFY,INFYEQN,1557.1,1557.5,1530.3,1542.0,1551.7,-9.7,-0.63,19645693.0
2025-11-13,ADANIPORTS,ADANIPORTSEQN,1515.0,1515.0,1487.8,1496.7,1506.9,-10.2,-0.68,2304754.0
2025-11-13,APOLLOHOSP,APOLLOHOSPEQN,7480.0,7509.0,7425.0,7444.0,7498.0,-54.0,-0.72,448512.0
2025-11-13,TRENT,TRENTEQN,4378.0,4402.9,4312.9,4342.0,4375.8,-33.8,-0.77,926669.0
2025-11-13,COALINDIA,COALINDIAEQN,386.5,387.4,382.75,383.3,386.5,-3.2,-0.83,3479280.0
2025-11-13,TCS,TCSEQN,3131.8,3131.9,3102.0,3104.8,3131.8,-27.0,-0.86,1740086.0
2025-11-13,ONGC,ONGCEQN,253.7,253.7,247.3,251.55,253.85,-2.3,-0.91,13057498.0
